Hero_id;Hero_name;Movie;Affiliation
202;Meredith Quill;Guardians of the Galaxy;Unnafiliated
202;Meredith Quill;Guardians of the Galaxy Vol. 2;Unnafiliated
203;Michelle “MJ”;Spider-Man: Homecoming;Unnafiliated
203;Michelle “MJ”;Spider-Man: Far From Home;Unnafiliated
203;Michelle “MJ”;Spider-Man: No Way Home;Unnafiliated
204;Mighty Thor;Thor;Unnafiliated
204;Mighty Thor;Thor: The Dark World;Unnafiliated
204;Mighty Thor;Avengers: Endgame;Unnafiliated
204;Mighty Thor;Thor: Love and Thunder;Unnafiliated
205;Minerva;Thor: Love and Thunder;Unnafiliated
206;Minn-Erva;Captain Marvel;Starforce
207;Miriam Sharpe;Captain America: Civil War;Unnafiliated
208;Mitchell Carson;Ant-Man;Unnafiliated
209;Mobius M. Mobius;Ant-Man and the Wasp: Quantumania;Unnafiliated
210;Monica Rambeau;Captain Marvel;Unnafiliated
211;Morgan Stark;Avengers: Endgame;Unnafiliated
212;Mr. Cobbwell;Spider-Man: Homecoming;Unnafiliated
213;Mr. Delmar;Spider-Man: Homecoming;Unnafiliated
214;Mr. Hapgood;Spider-Man: Homecoming;Unnafiliated
215;Mrs. Chen;Shang-Chi and the Legend of the Ten Rings;Unnafiliated
216;Ms. Warren;Spider-Man: Homecoming;Unnafiliated
217;Mysterio;Spider-Man: Far From Home;Unnafiliated
